date,value
2022-10-11,1724.55
2022-10-10,1724.55
2022-10-09,1724.55
2022-10-08,1724.55
2022-10-07,1724.55
2022-10-06,1744.22
2022-10-05,1744.22
2022-10-04,1737.76
2022-10-03,1737.4
2022-10-02,1744.63
2022-10-01,1744.63
2022-09-30,1744.63
2022-09-29,1729.61
2022-09-28,1727.38
2022-09-27,1728.81
2022-09-26,1727.17
2022-09-25,1731.3
2022-09-24,1731.3
2022-09-23,1731.3
2022-09-22,1731.3
2022-09-21,1731.3
2022-09-20,1731.3
2022-09-19,1731.3
2022-09-18,1731.3
2022-09-17,1731.3
2022-09-16,1731.3
2022-09-15,1731.3
2022-09-14,1728.27
2022-09-13,1724.25
2022-09-12,1729.74
2022-09-11,1733.89
2022-09-10,1733.89
2022-09-09,1730.74
2022-09-08,1730.74
2022-09-07,1735.84
2022-09-06,1731.51
2022-09-05,1735.33
2022-09-04,1742.21
2022-09-03,1737.51
2022-09-02,1740.8
2022-09-01,1737.96
2022-08-31,1742.51
2022-08-30,1736.14
2022-08-29,1748.56
2022-08-28,1753.03
2022-08-27,1753.03
2022-08-26,1743.65
2022-08-25,1744.96
2022-08-24,1742.53
2022-08-23,1749.61
2022-08-22,1749.15
2022-08-21,1751.42
2022-08-20,1752.54
2022-08-19,1754.06
2022-08-18,1746.76
2022-08-17,1734.32
2022-08-16,1737.77
2022-08-15,1738.61
2022-08-14,1741.3
2022-08-13,1743.85
2022-08-12,1741.4
2022-08-11,1745.95
2022-08-10,1747.05
2022-08-09,1756.76
2022-08-08,1752.72
2022-08-07,1759.04
2022-08-06,1759.04
2022-08-05,1759.04
2022-08-04,1759.04
2022-08-03,1750.76
2022-08-02,1753.25
2022-08-01,1758.25
2022-07-31,1758.25
2022-07-30,1756.33
2022-07-29,1756.33
2022-07-28,1759.9
2022-07-27,1763.08
2022-07-26,1758.83
2022-07-25,1763.4
2022-07-24,1766.59
2022-07-23,1766.59
2022-07-22,1762.35
2022-07-21,1769.099
2022-07-20,1766.959
